Post_ID: 2767968078367702428	|Post_Code: CZpzE1Muj2c	|Place_Name: Pine Grove Furnace State Park	|Short_Name: Pine Grove Furnace State Park	|Place_ID: 2002366193359721	|Address: 1100 Pine Grove Rd	|City: Gardners, Pennsylvania	|Latitude: 40.0330199831	|Longitude: -77.3045039177
Post_ID: 2767912872971891305	|Post_Code: CZpmhfKuHJp	|Place_Name: Paine Mountain Norwich University	|Short_Name: Paine Mountain Norwich University	|Place_ID: 322939504452571	|Address: [Null]	|City: [Null]	|Latitude: 44.1388555337	|Longitude: -72.6422705202
Post_ID: 2767904973224628598	|Post_Code: CZpkuh9F1F2	|Place_Name: Amicalola Falls	|Short_Name: Amicalola Falls	|Place_ID: 108259619204806	|Address: [Null]	|City: [Null]	|Latitude: 34.5669730318	|Longitude: -84.2445586994
Post_ID: 2767899335637316586	|Post_Code: CZpjcfis7Pq	|Place_Name: Madison County	|Short_Name: Madison County	|Place_ID: 139228459439392	|Address: [Null]	|City: Madison County, North Carolina	|Latitude: 35.86	|Longitude: -82.71
Post_ID: 2767894903290209587	|Post_Code: CZpib_mOiUz	|Place_Name: Dockery Lake Trail at Appalachian Trail	|Short_Name: Dockery Lake Trail at Appalachian Trail	|Place_ID: 1109489715821686	|Address: [Null]	|City: [Null]	|Latitude: 34.70363099	|Longitude: -83.98507345
Post_ID: 2767893961969529826	|Post_Code: CZpiOS7JHPi	|Place_Name: The Not So Empty Nest	|Short_Name: The Not So Empty Nest	|Place_ID: 991215030931717	|Address: 1209 Broadway	|City: Bangor, Maine	|Latitude: 44.8392338868	|Longitude: -68.7935849359
Post_ID: 2767888961469089850	|Post_Code: CZphFh2Fwg6	|Place_Name: Cowrock Mountain	|Short_Name: Cowrock Mountain	|Place_ID: 135413453158241	|Address: [Null]	|City: [Null]	|Latitude: 34.7215671526	|Longitude: -83.856476018
Post_ID: 2767868705942960448	|Post_Code: CZpcexapnlA	|Place_Name: Blood Mountain, GA - Appalachian Trail	|Short_Name: Blood Mountain	|Place_ID: 180293245347651	|Address: [Null]	|City: Blairsville, GA	|Latitude: 34.73522653	|Longitude: -83.918040089
Post_ID: 2767846868627189800	|Post_Code: CZpXg_1M3Ao	|Place_Name: Campo Dell'osso - Monte Livata	|Short_Name: Campo Dell'osso - Monte Livata	|Place_ID: 100264502100491	|Address: [Null]	|City: [Null]	|Latitude: 41.9483563578	|Longitude: 13.1671796564
Post_ID: 2767840144217450117	|Post_Code: CZpV_JPJaaF	|Place_Name: Mount Cube	|Short_Name: Mount Cube	|Place_ID: 105584669499102	|Address: [Null]	|City: Lyme, New Hampshire	|Latitude: 43.8857143004	|Longitude: -72.0235835083
Post_ID: 2767836565278084298	|Post_Code: CZpVLEFvMzK	|Place_Name: Linden, Virginia	|Short_Name: Linden	|Place_ID: 105956536102427	|Address: [Null]	|City: [Null]	|Latitude: 38.9089	|Longitude: -78.0758
Post_ID: 2767832880663382182	|Post_Code: CZpUVchlkim	|Place_Name: Pacific Crest Trail	|Short_Name: Pacific Crest Trail	|Place_ID: 105616572804764	|Address: [Null]	|City: [Null]	|Latitude: 42.0038	|Longitude: -122.91
Post_ID: 2767817299010170107	|Post_Code: CZpQys-rqz7	|Place_Name: Clarence Fahnestock State Park	|Short_Name: Clarence Fahnestock State Park	|Place_ID: 132873016749749	|Address: [Null]	|City: Putnam Valley, New York	|Latitude: 41.4650485877	|Longitude: -73.8339614868
Post_ID: 2767814420475544336	|Post_Code: CZpQI0IpgMQ	|Place_Name: Pisgah National Forest	|Short_Name: Pisgah National Forest	|Place_ID: 567327580346952	|Address: [Null]	|City: [Null]	|Latitude: 35.635269	|Longitude: -82.185465
Post_ID: 2767810022538027597	|Post_Code: CZpPI0PJSJN	|Place_Name: Delaware Water Gap National Recreation Area	|Short_Name: Delaware Water Gap National Recreation Area	|Place_ID: 108037402558136	|Address: [Null]	|City: [Null]	|Latitude: 41.1538111111	|Longitude: -74.9138805556
Post_ID: 2767803670962120595	|Post_Code: CZpNsY3uCeT	|Place_Name: West Virginia	|Short_Name: West Virginia	|Place_ID: 112083625475436	|Address: [Null]	|City: [Null]	|Latitude: 39.0	|Longitude: -80.5
Post_ID: 2767768787992907300	|Post_Code: CZpFwxkuw4k	|Place_Name: Stokes State Forest	|Short_Name: Stokes State Forest	|Place_ID: 772984306209551	|Address: 1 Coursen Road	|City: [Null]	|Latitude: 41.1855790004	|Longitude: -74.7957281255
Post_ID: 2767750117433619767	|Post_Code: CZpBhFQrTU3	|Place_Name: White Mountains New Hampshire	|Short_Name: White Mountains New Hampshire	|Place_ID: 127167510650218	|Address: [Null]	|City: [Null]	|Latitude: -1.0	|Longitude: -1.0
Post_ID: 2767734586320118845	|Post_Code: CZo9_EyLGQ9	|Place_Name: Appalachian Trail	|Short_Name: Appalachian Trail	|Place_ID: 133151754013761	|Address: [Null]	|City: [Null]	|Latitude: 39.1119300433	|Longitude: -77.856257056
Post_ID: 2767722176146311842	|Post_Code: CZo7Ke6LAqi	|Place_Name: Rangeley Lakes Trails Center	|Short_Name: Rangeley Lakes Trails Center	|Place_ID: 182589233553	|Address: 524 Saddleback Mountain Rd	|City: Rangeley, ME	|Latitude: 44.9566485026	|Longitude: -70.5657099595
Post_ID: 2767716069836136997	|Post_Code: CZo5xn9uSIl	|Place_Name: North Georgia Mountains	|Short_Name: North Georgia Mountains	|Place_ID: 229998573782200	|Address: [Null]	|City: [Null]	|Latitude: 34.2088018265	|Longitude: -84.1279282329
Post_ID: 2767715182699006776	|Post_Code: CZo5ktwOss4	|Place_Name: Appalachian Trail	|Short_Name: Appalachian Trail	|Place_ID: 475687342635119	|Address: [Null]	|City: Warwick, New York	|Latitude: 41.244625	|Longitude: -74.288803
Post_ID: 2767714217463001687	|Post_Code: CZo5WqzrjJX	|Place_Name: Appalachian Highlands	|Short_Name: Appalachian Highlands	|Place_ID: 232268260694056	|Address: [Null]	|City: [Null]	|Latitude: -1.0	|Longitude: -1.0
Post_ID: 2767699142497726391	|Post_Code: CZo17TJuu-3	|Place_Name: Mouth of Wilson, Virginia	|Short_Name: Mouth of Wilson	|Place_ID: 107707795918932	|Address: [Null]	|City: [Null]	|Latitude: 36.58891	|Longitude: -81.33688
Post_ID: 2767697192655561771	|Post_Code: CZo1e7OFKQr	|Place_Name: Tuolumne Meadows, Yosemite Nat'l Park.	|Short_Name: Tuolumne Meadows	|Place_ID: 2144087329150743	|Address: [Null]	|City: Tuolumne, CA	|Latitude: 37.87762	|Longitude: -119.33383
Post_ID: 2767684915779215806	|Post_Code: CZoysRfOiG-	|Place_Name: Mount Rogers National Recreation Area	|Short_Name: Mount Rogers National Recreation Area	|Place_ID: 108055865889913	|Address: [Null]	|City: [Null]	|Latitude: 36.6461	|Longitude: -81.5828
Post_ID: 2767684294853725826	|Post_Code: CZoyjPNLw6C	|Place_Name: Appalachian Trail	|Short_Name: Appalachian Trail	|Place_ID: 133151754013761	|Address: [Null]	|City: [Null]	|Latitude: 39.1119300433	|Longitude: -77.856257056
Post_ID: 2767678156394689129	|Post_Code: CZoxJ6Ug3Jp	|Place_Name: Pulpit Rock Overlook	|Short_Name: Pulpit Rock Overlook	|Place_ID: 2376797315882780	|Address: [Null]	|City: Lenhartsville, Pennsylvania	|Latitude: 40.5966495894	|Longitude: -75.9314056318
Post_ID: 2767669015709515342	|Post_Code: CZovE5ZOH5O	|Place_Name: Appalachian Mountains	|Short_Name: Appalachian Mountains	|Place_ID: 151473228249189	|Address: [Null]	|City: [Null]	|Latitude: 35.1209329167	|Longitude: -85.7548716667
Post_ID: 2767653191414207408	|Post_Code: CZoren3uFOw	|Place_Name: Harpers Ferry, WV	|Short_Name: Harpers Ferry	|Place_ID: 557550987602233	|Address: [Null]	|City: Harpers Ferry, West Virginia	|Latitude: 39.3240243616	|Longitude: -77.7312644737
Post_ID: 2767441586486954896	|Post_Code: CZn7XXbMsuQ	|Place_Name: Port Clinton, Pennsylvania	|Short_Name: Port Clinton	|Place_ID: 107960119232245	|Address: [Null]	|City: [Null]	|Latitude: 40.5825	|Longitude: -76.0264
Post_ID: 2767400160503901135	|Post_Code: CZnx8ieMavP	|Place_Name: The Knife Edge	|Short_Name: The Knife Edge	|Place_ID: 180711501999432	|Address: [Null]	|City: [Null]	|Latitude: 45.9056448145	|Longitude: -68.9060017281
Post_ID: 2767389431893692827	|Post_Code: CZnvgarMZGb	|Place_Name: Raven Rock Appalachian Trail	|Short_Name: Raven Rock Appalachian Trail	|Place_ID: 262175177297373	|Address: [Null]	|City: [Null]	|Latitude: 39.704524	|Longitude: -77.486197
Post_ID: 2767388512510926083	|Post_Code: CZnvTCbtd0D	|Place_Name: Cumberland Valley Overlook	|Short_Name: Cumberland Valley Overlook	|Place_ID: 529202254084488	|Address: [Null]	|City: [Null]	|Latitude: 40.2740922198	|Longitude: -77.0993162692
Post_ID: 2767377688623509337	|Post_Code: CZns1h5vu9Z	|Place_Name: Wonosobo, Jawa Tengah, Indonesia	|Short_Name: Wonosobo	|Place_ID: 107079012657090	|Address: [Null]	|City: [Null]	|Latitude: -7.3653	|Longitude: 109.9012
Post_ID: 2767373752881288354	|Post_Code: CZnr8QdOpSi	|Place_Name: White Rocks Overlook - Appalachian Trail	|Short_Name: White Rocks Overlook - Appalachian Trail	|Place_ID: 360304394514300	|Address: [Null]	|City: [Null]	|Latitude: 39.4470285531	|Longitude: -77.6298431315
Post_ID: 2767361128621924792	|Post_Code: CZnpEjMu-G4	|Place_Name: Shenandoah National Park	|Short_Name: Shenandoah National Park	|Place_ID: 197375046954591	|Address: [Null]	|City: [Null]	|Latitude: 38.3136459917	|Longitude: -78.6785888672
Post_ID: 2767355077171688917	|Post_Code: CZnnsfWMTXV	|Place_Name: Mount Abraham	|Short_Name: Mount Abraham	|Place_ID: 144665972213837	|Address: [Null]	|City: Lincoln, Vermont	|Latitude: 44.1204	|Longitude: -72.9362
Post_ID: 2767352343995484402	|Post_Code: CZnnEt4Mgjy	|Place_Name: Bear Mountain State Park	|Short_Name: Bear Mountain State Park	|Place_ID: 103147373058974	|Address: 55 Hessian Dr	|City: Bear Mountain	|Latitude: 41.3132904565	|Longitude: -73.9978581907
Post_ID: 2767340508189504652	|Post_Code: CZnkYe7LzSM	|Place_Name: Shenandoah National Park	|Short_Name: Shenandoah National Park	|Place_ID: 197375046954591	|Address: [Null]	|City: [Null]	|Latitude: 38.3136459917	|Longitude: -78.6785888672
Post_ID: 2767336578059656969	|Post_Code: CZnjfStMN8J	|Place_Name: Unicoi Gap Appalachian Trail	|Short_Name: Unicoi Gap Appalachian Trail	|Place_ID: 1167847069951353	|Address: 352  Gander Gap Rd	|City: Hiawassee, Georgia	|Latitude: 34.8847596	|Longitude: -83.7641357
Post_ID: 2767332313140865428	|Post_Code: CZnihOsOKmU	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767332006629722887	|Post_Code: CZnicxOu8sH	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767331275822407163	|Post_Code: CZniSInOR37	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767330949161231322	|Post_Code: CZniNYYsyPa	|Place_Name: Catawba, Virginia	|Short_Name: Catawba	|Place_ID: 113543385322886	|Address: [Null]	|City: [Null]	|Latitude: 37.3825	|Longitude: -80.1097
Post_ID: 2767330047008769060	|Post_Code: CZniAQMOQQk	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767329402704964559	|Post_Code: CZnh24IuSvP	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767328750985562405	|Post_Code: CZnhtZLOEkl	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767326563135958253	|Post_Code: CZnhNjlOKzt	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767325806483550469	|Post_Code: CZnhCi5OTEF	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767319681314568586	|Post_Code: CZnfpaYs7mK	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767311842781544984	|Post_Code: CZnd3WLucIY	|Place_Name: Appalachian Trail, Dragon's Tooth	|Short_Name: Appalachian Trail	|Place_ID: 193961803948761	|Address: Catawba Valley Dr	|City: Catawba, VA	|Latitude: 37.3608987861	|Longitude: -80.1734750603
Post_ID: 2767308287052074900	|Post_Code: CZndDmpu8-U	|Place_Name: Appalachian Trail, Dragon's Tooth	|Short_Name: Appalachian Trail	|Place_ID: 193961803948761	|Address: Catawba Valley Dr	|City: Catawba, VA	|Latitude: 37.3608987861	|Longitude: -80.1734750603
Post_ID: 2767305574183970095	|Post_Code: CZnccIGMaUv	|Place_Name: Georgia	|Short_Name: Georgia	|Place_ID: 103994709636969	|Address: [Null]	|City: [Null]	|Latitude: 33.0	|Longitude: -83.5
Post_ID: 2767301724869670551	|Post_Code: CZnbkHJLraX	|Place_Name: Appalachian Mountains	|Short_Name: Appalachian Mountains	|Place_ID: 108569239165348	|Address: [Null]	|City: [Null]	|Latitude: 35.7647222222	|Longitude: -82.2652777778
Post_ID: 2767299435123654192	|Post_Code: CZnbCyprz4w	|Place_Name: Appalachian Trail @ Weverton	|Short_Name: Appalachian Trail @ Weverton	|Place_ID: 358635611346272	|Address: Weverton Rd	|City: [Null]	|Latitude: 39.3320095691	|Longitude: -77.6765139705
Post_ID: 2767292542212814485	|Post_Code: CZnZefILraV	|Place_Name: Blood Mountain, GA - Appalachian Trail	|Short_Name: Blood Mountain	|Place_ID: 180293245347651	|Address: [Null]	|City: Blairsville, GA	|Latitude: 34.73522653	|Longitude: -83.918040089
Post_ID: 2711370812797790062	|Post_Code: CWguWOHLKdu	|Place_Name: Appalachian Trail, Maryland	|Short_Name: Appalachian Trail	|Place_ID: 281241068624065	|Address: [Null]	|City: York, Pennsylvania	|Latitude: 39.96082949	|Longitude: -76.75912935
Post_ID: 2362789375455873056	|Post_Code: CDKUGsbHUgg	|Place_Name: Humpback Rock	|Short_Name: Humpback Rock	|Place_ID: 107555765940253	|Address: [Null]	|City: [Null]	|Latitude: 37.9612928093	|Longitude: -78.9006462693
Post_ID: 2359137986024335227	|Post_Code: CC9V3_BHGd7	|Place_Name: Spy Rock	|Short_Name: Spy Rock	|Place_ID: 1677509788947300	|Address: [Null]	|City: Tyro, Virginia	|Latitude: 37.4151593	|Longitude: -79.151194
Post_ID: 2767290658321533503	|Post_Code: CZnZDEngwo_	|Place_Name: North Georgia Mountains	|Short_Name: North Georgia Mountains	|Place_ID: 229998573782200	|Address: [Null]	|City: [Null]	|Latitude: 34.2088018265	|Longitude: -84.1279282329
Post_ID: 2767284879076643740	|Post_Code: CZnXu-RrFOc	|Place_Name: Springer Mountain	|Short_Name: Springer Mountain	|Place_ID: 143470302335077	|Address: [Null]	|City: Blue Ridge, Georgia	|Latitude: 34.6273107563	|Longitude: -84.1935244203
Post_ID: 2767272348937364027	|Post_Code: CZnU4orLCI7	|Place_Name: West Cornwall, Connecticut	|Short_Name: West Cornwall	|Place_ID: 110103559009346	|Address: [Null]	|City: [Null]	|Latitude: 41.87161	|Longitude: -73.36253
Post_ID: 2767266351357984513	|Post_Code: CZnThW_lX8B	|Place_Name: Appalachian Trail, Hot Springs	|Short_Name: Appalachian Trail	|Place_ID: 458291044232816	|Address: [Null]	|City: [Null]	|Latitude: 35.9091359452	|Longitude: -82.7930619756
Post_ID: 2767265217142612485	|Post_Code: CZnTQ2rFGIF	|Place_Name: Duncannon, Pennsylvania	|Short_Name: Duncannon	|Place_ID: 109604905725783	|Address: [Null]	|City: [Null]	|Latitude: 40.3939	|Longitude: -77.0206
Post_ID: 2767259843452460766	|Post_Code: CZnSCqCL97e	|Place_Name: Roan Mountain	|Short_Name: Roan Mountain	|Place_ID: 142548999089754	|Address: [Null]	|City: [Null]	|Latitude: 36.1063888889	|Longitude: -82.1102777778
Post_ID: 2767250659015501982	|Post_Code: CZnP9AXFaie	|Place_Name: Appalachian Trail	|Short_Name: Appalachian Trail	|Place_ID: 398613680326121	|Address: Springer Mountain, Georgia to Mount Katahdin, Maine	|City: [Null]	|Latitude: 35.63346	|Longitude: -82.56877
Post_ID: 2767247093070172756	|Post_Code: CZnPJHULhJU	|Place_Name: Carver's Gap, North Carolina	|Short_Name: Carver's Gap	|Place_ID: 253972431371895	|Address: [Null]	|City: [Null]	|Latitude: 37.3312901667	|Longitude: -79.8906382233
Post_ID: 2767233829968887102	|Post_Code: CZnMIHFvT0-	|Place_Name: Canmore, Alberta	|Short_Name: Canmore	|Place_ID: 109363902415293	|Address: [Null]	|City: [Null]	|Latitude: 51.08961	|Longitude: -115.36085
Post_ID: 2767227501065982810	|Post_Code: CZnKsA1utNa	|Place_Name: Charleston, South Carolina	|Short_Name: Charleston	|Place_ID: 105557439477766	|Address: [Null]	|City: [Null]	|Latitude: 32.7872	|Longitude: -79.9372
Post_ID: 2767215458983545847	|Post_Code: CZnH8xxrwv3	|Place_Name: North Carolina	|Short_Name: North Carolina	|Place_ID: 104083326294266	|Address: [Null]	|City: [Null]	|Latitude: 35.5	|Longitude: -80.0
Post_ID: 2767194551828684955	|Post_Code: CZnDMieJSCb	|Place_Name: Southern Appalachian Brewery	|Short_Name: Southern Appalachian Brewery	|Place_ID: 186297024741055	|Address: 822 Locust St, Ste 100	|City: Hendersonville, North Carolina	|Latitude: 35.3223065235	|Longitude: -82.4592633653
Post_ID: 2767189819858250924	|Post_Code: CZnCHreumys	|Place_Name: Twin Peaks Restaurants	|Short_Name: Twin Peaks Restaurants	|Place_ID: 1403946183234179	|Address: 3516 Sangani Blvd. Suite G	|City: D'Iberville	|Latitude: 30.45917	|Longitude: -88.892235
Post_ID: 2767149935273785727	|Post_Code: CZm5DSEPTl_	|Place_Name: Mt. Katahdin - Baxter State Park	|Short_Name: Mt. Katahdin - Baxter State Park	|Place_ID: 160400061059602	|Address: [Null]	|City: Holden, ME	|Latitude: 44.75249	|Longitude: -68.7206
Post_ID: 2767139578796321207	|Post_Code: CZm2sk2FCm3	|Place_Name: Liteaf LLC	|Short_Name: Liteaf LLC	|Place_ID: 232967147254804	|Address: [Null]	|City: [Null]	|Latitude: -1.0	|Longitude: -1.0
Post_ID: 2767136832173219426	|Post_Code: CZm2Em2lZ5i	|Place_Name: Fayetteville, Georgia	|Short_Name: Fayetteville	|Place_ID: 105605216138583	|Address: [Null]	|City: [Null]	|Latitude: 33.4479	|Longitude: -84.4618
Post_ID: 2767131636262043807	|Post_Code: CZm04_yJQCf	|Place_Name: Damascus, Virginia	|Short_Name: Damascus	|Place_ID: 108242672533835	|Address: [Null]	|City: [Null]	|Latitude: 36.6339	|Longitude: -81.787
Post_ID: 2767119848278636368	|Post_Code: CZmyNdXlLdQ	|Place_Name: Appalachian Trail Via Lehigh Gap	|Short_Name: Appalachian Trail Via Lehigh Gap	|Place_ID: 2151044944907234	|Address: [Null]	|City: [Null]	|Latitude: 40.782531	|Longitude: -75.619064
Post_ID: 2767095802218881332	|Post_Code: CZmsviuuyE0	|Place_Name: Amicalola Falls	|Short_Name: Amicalola Falls	|Place_ID: 108259619204806	|Address: [Null]	|City: [Null]	|Latitude: 34.5669730318	|Longitude: -84.2445586994
Post_ID: 2767078926838551954	|Post_Code: CZmo5-TrlWS	|Place_Name: Annapolis Rocks	|Short_Name: Annapolis Rocks	|Place_ID: 159401538334214	|Address: South Mountain State Park	|City: Hagerstown, Maryland	|Latitude: 39.5584188623	|Longitude: -77.5986830692
Post_ID: 2767059894135712105	|Post_Code: CZmklAuMGlp	|Place_Name: Esbjerg, Denmark	|Short_Name: Esbjerg	|Place_ID: 106539502715833	|Address: [Null]	|City: [Null]	|Latitude: 55.4667	|Longitude: 8.45
Post_ID: 2767042614357987821	|Post_Code: CZmgpjrLRHt	|Place_Name: Great Smoky Mountains National Park	|Short_Name: Great Smoky Mountains National Park	|Place_ID: 130618693662136	|Address: [Null]	|City: [Null]	|Latitude: -1.0	|Longitude: -1.0
Post_ID: 2767024641455841505	|Post_Code: CZmckBGumDh	|Place_Name: McAfee Knob	|Short_Name: McAfee Knob	|Place_ID: 474183719267988	|Address: [Null]	|City: [Null]	|Latitude: 37.3929545124	|Longitude: -80.0371561063
Post_ID: 2767022316653088900	|Post_Code: CZmcCL9r5CE	|Place_Name: Hot Springs, North Carolina	|Short_Name: Hot Springs	|Place_ID: 104192952951161	|Address: [Null]	|City: [Null]	|Latitude: 35.892	|Longitude: -82.829
Post_ID: 2767014283519154350	|Post_Code: CZmaNShl1iu	|Place_Name: Abovetheclouds	|Short_Name: Abovetheclouds	|Place_ID: 106968060796696	|Address: 1487 State Highway 60	|City: [Null]	|Latitude: 34.68293	|Longitude: -84.0172599
Post_ID: 2766995679474025018	|Post_Code: CZmV-kKFwI6	|Place_Name: Abovetheclouds	|Short_Name: Abovetheclouds	|Place_ID: 106968060796696	|Address: 1487 State Highway 60	|City: [Null]	|Latitude: 34.68293	|Longitude: -84.0172599
Post_ID: 2766972875389405829	|Post_Code: CZmQyuMugqF	|Place_Name: New River Gorge National Park	|Short_Name: New River Gorge National Park	|Place_ID: 1759313300948187	|Address: [Null]	|City: Fayetteville, West Virginia	|Latitude: 38.070049147	|Longitude: -81.075952994
Post_ID: 2766967677874099731	|Post_Code: CZmPnForFYT	|Place_Name: Green Mountains	|Short_Name: Green Mountains	|Place_ID: 113138572029807	|Address: [Null]	|City: [Null]	|Latitude: 44.7916666667	|Longitude: -72.5827777778
Post_ID: 2766960454880381781	|Post_Code: CZmN9-ssstV	|Place_Name: Southern New Hampshire University	|Short_Name: Southern New Hampshire University	|Place_ID: 112343606183	|Address: 2500 N River Rd	|City: Manchester, NH	|Latitude: 43.0399712535	|Longitude: -71.453794826
Post_ID: 2766957724329511214	|Post_Code: CZmNWPrLwku	|Place_Name: Appalachian Trail - Shenandoah National Park	|Short_Name: Appalachian Trail - Shenandoah National Park	|Place_ID: 124331177623300	|Address: [Null]	|City: Luray, Virginia	|Latitude: 38.7247750944	|Longitude: -78.3232151864
Post_ID: 2766948324179478266	|Post_Code: CZmLNdGlIb6	|Place_Name: Jumbo Rocks Campground	|Short_Name: Jumbo Rocks Campground	|Place_ID: 2163217907281132	|Address: Joshua Tree National Park	|City: Joshua Tree, California	|Latitude: 33.9920141548	|Longitude: -116.0645055771
Post_ID: 2766947820403237343	|Post_Code: CZmLGH7LSHf	|Place_Name: Appalachian Mountains	|Short_Name: Appalachian Mountains	|Place_ID: 108569239165348	|Address: [Null]	|City: [Null]	|Latitude: 35.7647222222	|Longitude: -82.2652777778
Post_ID: 2766710041155136464	|Post_Code: CZlVB-vjuvQ	|Place_Name: Mercer County	|Short_Name: Mercer County	|Place_ID: 132655450107998	|Address: [Null]	|City: Mercer County, West Virginia	|Latitude: 37.3637456959	|Longitude: -81.0531506036
Post_ID: 2766685462738113730	|Post_Code: CZlPcUTvhTC	|Place_Name: Wonosobo, Jawa Tengah, Indonesia	|Short_Name: Wonosobo	|Place_ID: 107079012657090	|Address: [Null]	|City: [Null]	|Latitude: -7.3653	|Longitude: 109.9012
Post_ID: 2766684348436443752	|Post_Code: CZlPMGiL_Jo	|Place_Name: North Carolina	|Short_Name: North Carolina	|Place_ID: 104083326294266	|Address: [Null]	|City: [Null]	|Latitude: 35.5	|Longitude: -80.0
